arm1,arm2,arm3,arm4
45,42,50,53
32,43,50,58
43,50,57,55
42,44,52,56
49,38,49,67
44,40,59,51
53,40,54,56
58,40,47,59
58,37,56,51
52,42,56,61
56,42,59,50
52,42,58,54
59,40,70,50
54,44,75,44
53,46,78,44
50,41,78,45
49,47,77,45
45,52,68,47
43,43,67,56
40,48,68,50
45,42,46,47
34,44,54,42
46,45,56,44
39,43,55,48
46,53,52,41
38,55,57,56
35,58,55,55
29,64,59,53
38,51,60,68
29,47,58,59
28,58,69,55
40,56,58,53
38,55,68,55
29,57,61,60
40,57,72,68
36,53,67,66
35,43,58,71
40,51,64,63
41,45,59,72
39,49,53,64
47,52,57,64
49,51,50,64
44,53,57,68
43,51,50,61
59,50,52,65
51,50,66,59
58,51,61,48
54,56,65,47
58,52,60,51
47,54,63,46
51,56,59,51
51,52,65,57
59,60,73,56
55,60,67,58
56,58,62,64
62,58,68,58
58,42,58,59
59,54,52,54
60,55,55,62
61,57,63,58
68,64,53,51
67,58,55,65
64,60,61,60
65,62,50,60
59,58,62,56
64,64,55,57
67,61,47,52
60,56,52,56
67,64,61,52
62,70,64,51
67,63,56,46
64,54,67,50
67,56,60,50
65,57,53,48
62,60,57,47
62,55,50,49
62,48,57,42
62,36,51,51
56,37,47,51
64,33,54,47
61,36,57,51
57,28,62,44
56,33,46,39
55,23,48,54
58,25,45,65
44,32,49,51
54,31,58,51
55,31,49,51
56,22,46,44
62,26,50,50
57,27,53,59
58,35,53,55
46,23,46,48
45,27,49,53
51,32,58,55
44,25,62,52
40,34,54,58
45,36,56,65
49,40,54,65
55,32,49,72
58,44,48,76
60,57,43,66
61,52,44,61
61,57,61,68
55,60,55,62
49,62,46,66
53,52,51,66
60,54,61,63
59,56,52,59
61,66,57,54
59,57,60,52
60,58,68,54
57,62,64,51
64,66,65,42
57,57,64,44
60,61,65,42
65,70,67,52
59,61,70,42
55,57,65,44
62,60,60,42
66,72,69,58
72,70,58,63
64,69,51,57
58,64,58,62
63,72,50,57
64,69,53,57
67,61,66,67
69,61,50,60
71,52,57,52
61,53,57,53
68,56,53,56
65,53,48,61
62,62,44,70
75,55,53,56
61,60,56,65
65,56,63,59
63,65,64,70
63,62,58,59
65,56,58,58
70,70,61,56
62,72,59,66
61,61,60,69
52,60,59,68
62,61,62,68
56,57,59,75
58,63,43,68
61,61,53,68
60,63,65,64
65,66,57,68
47,62,55,60
