arm1,arm2,arm3,arm4
41,53,55,72
38,44,50,69
35,45,49,67
34,53,46,76
36,49,58,65
23,53,59,68
34,49,54,68
26,49,57,60
22,55,53,58
26,62,54,53
25,69,53,53
28,51,50,62
24,53,46,59
23,48,52,54
36,47,52,50
46,55,44,61
33,53,36,56
36,52,41,58
32,59,41,54
43,59,48,48
41,58,41,40
37,56,40,55
44,60,43,49
32,59,47,48
38,60,40,43
35,54,31,53
40,58,33,53
38,59,46,47
36,62,47,40
30,56,43,46
42,63,51,47
47,57,47,54
49,69,42,57
38,68,46,52
31,64,45,52
38,60,45,58
47,68,46,56
43,55,48,58
49,68,47,56
42,64,62,53
29,59,54,64
32,66,59,51
43,60,56,52
39,74,57,55
44,72,51,52
28,63,57,51
27,70,57,41
30,61,63,52
31,74,59,51
26,72,58,52
32,78,52,41
26,75,53,46
33,72,58,32
34,68,58,47
38,73,56,36
42,73,55,35
40,68,54,33
30,69,50,28
48,72,58,30
43,65,49,32
43,64,53,40
47,65,39,41
56,59,54,39
48,73,54,38
48,77,49,36
46,66,47,35
39,70,58,48
46,71,57,35
38,72,55,41
52,69,50,57
47,80,58,51
40,80,63,50
42,79,63,47
44,80,60,47
47,64,60,46
46,77,59,49
39,70,65,51
31,77,66,52
34,66,57,49
32,62,58,49
28,65,61,57
31,58,51,51
33,70,50,59
40,68,54,44
31,68,56,36
31,58,44,40
41,59,53,40
31,59,54,42
37,54,47,48
46,61,46,41
47,71,48,39
47,68,54,40
41,63,53,47
42,56,55,40
48,61,54,51
36,63,60,51
35,57,51,46
42,62,55,51
32,58,52,49
32,57,58,50
42,48,70,55
46,53,61,59
38,55,63,59
34,65,60,53
28,58,56,68
25,51,57,58
31,59,61,62
33,56,59,55
38,64,62,62
33,63,45,57
25,66,54,57
26,68,54,58
24,55,58,59
22,54,67,54
28,55,48,55
25,50,54,60
34,47,59,51
35,50,68,52
39,53,60,52
29,57,59,55
30,51,53,59
29,56,54,55
29,56,68,58
22,65,55,46
29,60,60,52
25,51,60,64
25,71,62,56
29,58,63,63
39,58,56,68
42,61,71,59
43,51,56,61
42,52,62,52
37,50,66,59
36,55,62,60
45,58,65,60
46,49,69,56
43,55,57,58
53,64,57,55
40,59,51,57
52,51,55,56
44,60,60,60
42,50,45,60
50,62,47,56
52,61,47,44
41,72,47,52
31,57,48,46
44,62,51,44
42,64,51,50
53,64,50,40
41,58,46,53
