arm1,arm2,arm3,arm4
30,46,51,74
40,43,62,74
32,49,60,69
37,40,61,69
42,44,61,72
30,52,59,73
39,49,58,76
41,40,62,72
34,41,71,63
44,47,64,70
42,42,63,69
47,45,64,60
44,46,64,66
44,47,60,60
43,48,57,61
40,43,59,50
51,51,74,59
49,46,54,65
48,49,46,59
41,44,59,75
39,53,57,63
39,48,61,59
33,56,39,68
32,52,49,67
36,49,56,61
34,51,52,59
30,54,57,67
18,56,56,72
27,52,49,67
28,57,50,73
30,60,47,64
20,56,55,68
18,62,46,73
20,58,48,72
27,58,61,77
23,52,53,68
22,44,50,72
26,46,62,82
29,56,52,84
29,59,59,72
24,53,52,69
22,62,55,68
33,51,62,53
25,49,63,66
32,52,65,73
30,55,56,62
29,49,56,62
41,55,68,55
45,48,58,56
39,56,52,54
45,53,59,65
32,45,55,70
32,52,64,54
32,58,60,65
31,43,49,56
26,48,47,68
22,46,49,65
23,48,48,54
23,46,45,67
29,53,48,59
28,56,42,51
36,61,40,62
31,59,48,56
34,59,47,50
35,61,43,52
42,65,42,54
41,67,40,50
38,67,45,47
39,68,45,53
47,62,49,48
58,59,39,46
48,63,41,44
50,58,54,52
50,71,59,52
64,70,53,44
60,67,59,45
60,61,62,48
61,77,58,48
61,65,58,45
70,63,57,37
62,71,61,34
61,70,58,21
67,74,62,31
64,81,64,31
61,65,70,39
61,76,66,42
58,69,66,39
63,73,66,42
55,72,63,49
56,70,75,39
50,68,68,33
47,63,68,33
49,66,65,34
49,56,65,34
56,68,68,38
50,63,65,29
47,58,65,36
61,65,63,38
50,66,66,44
58,66,65,36
58,67,64,37
61,70,60,45
66,66,56,33
53,66,55,35
48,66,54,42
40,71,59,41
45,80,56,32
38,72,63,41
41,66,60,42
40,66,64,39
40,62,59,43
29,63,54,38
24,59,58,35
39,66,61,35
39,63,53,45
42,65,50,35
35,57,51,33
32,61,59,44
31,55,57,45
35,55,56,44
32,52,71,28
28,54,58,48
19,55,60,44
10,54,61,50
20,53,53,44
21,52,49,60
18,53,58,50
12,51,64,49
16,52,63,50
20,50,50,50
25,59,55,42
33,52,61,37
39,55,63,40
38,42,57,38
39,50,62,45
39,52,66,35
40,57,61,37
34,52,65,37
35,50,68,43
44,53,66,44
35,55,67,44
35,60,65,39
43,61,63,38
45,65,63,38
48,57,51,43
63,61,63,49
54,58,62,41
63,62,59,35
65,54,58,34
54,52,59,32
