arm1,arm2,arm3,arm4
26,37,67,72
22,55,69,70
17,53,69,69
32,37,76,72
30,50,65,65
26,49,62,61
18,44,62,52
23,57,71,63
26,61,78,62
28,53,68,59
22,53,68,62
21,54,63,61
24,54,60,54
34,63,67,52
27,64,65,63
19,60,69,57
18,48,74,56
25,59,70,53
18,55,73,58
15,61,73,53
14,57,69,49
17,60,71,43
18,52,69,52
28,53,75,64
23,65,82,60
17,60,82,50
19,67,78,49
19,59,68,54
16,56,79,49
27,64,73,44
17,60,82,54
28,60,81,43
23,69,76,42
30,66,85,32
30,68,83,35
34,61,83,43
22,58,88,41
34,58,83,32
37,53,78,42
37,52,83,32
34,58,86,42
32,53,83,42
29,55,79,29
31,53,79,25
32,53,73,33
34,53,76,33
38,54,77,25
31,57,74,35
23,49,73,28
34,45,67,29
30,37,69,32
26,46,74,37
22,47,74,31
36,58,77,30
19,52,75,26
24,58,67,25
29,59,67,27
31,54,71,22
26,50,65,22
28,58,64,25
17,49,68,22
24,46,61,28
43,47,54,36
34,52,66,9
25,42,59,21
27,52,58,14
26,47,57,17
32,43,56,18
24,60,53,15
26,61,52,24
24,54,55,17
30,60,64,12
27,59,56,20
37,54,65,8
38,58,69,18
36,60,64,25
38,53,60,12
42,62,56,12
44,61,66,8
51,60,65,21
35,55,60,15
41,59,75,17
39,63,64,14
32,62,63,15
42,63,51,10
33,65,54,13
41,61,56,12
42,73,48,18
37,61,45,22
41,61,47,30
36,65,48,33
33,68,55,31
45,76,53,34
47,60,49,34
53,60,52,26
41,68,48,37
40,59,57,31
25,56,54,34
38,56,42,31
42,51,56,28
41,48,54,37
33,45,55,41
42,47,56,38
40,53,44,35
48,48,44,35
46,48,44,25
43,54,48,37
58,36,55,31
42,42,47,35
44,45,39,36
42,36,49,32
49,36,48,44
47,33,55,36
47,33,52,31
36,28,57,33
45,25,45,23
47,21,50,26
46,24,48,23
41,31,55,25
43,23,55,19
51,26,52,23
46,15,45,22
51,19,46,24
49,28,54,30
55,19,52,18
52,21,48,17
57,21,52,14
64,25,51,20
61,21,48,20
61,18,50,11
66,32,53,0
54,35,53,9
57,32,55,11
55,36,55,12
53,27,45,15
55,20,39,10
62,29,51,4
62,30,46,9
58,28,52,14
60,29,48,16
64,25,55,13
66,30,57,8
64,27,56,12
64,30,43,12
67,30,52,14
69,34,41,18
63,25,53,12
75,22,47,14
57,25,58,13
71,23,46,10
