arm1,arm2,arm3,arm4
29,37,64,55
34,49,68,59
30,39,58,51
32,43,54,72
28,36,49,61
20,39,51,62
28,35,39,56
21,32,45,67
23,30,53,61
27,30,53,62
30,33,55,56
31,27,57,57
41,29,62,64
31,39,61,59
34,37,68,59
33,34,57,60
32,37,70,62
28,37,68,66
39,32,59,59
29,32,68,62
37,29,53,53
31,34,61,47
30,33,61,55
31,34,61,48
34,32,71,47
35,31,74,54
44,35,67,58
33,35,62,45
38,19,70,45
30,35,65,43
49,33,67,46
27,34,70,37
40,35,73,47
40,36,70,47
36,22,73,37
35,30,62,37
35,33,68,45
35,34,63,44
36,29,66,50
39,32,68,42
41,33,71,49
38,30,56,40
34,35,58,51
42,34,57,44
36,32,66,48
33,28,60,45
31,32,64,50
36,23,64,49
36,29,67,48
40,33,67,44
38,40,60,45
40,32,76,34
37,43,77,35
33,33,84,34
29,36,74,36
29,45,68,34
28,49,66,37
24,35,59,34
26,38,54,39
28,46,54,29
24,39,59,32
34,41,50,30
32,47,60,23
30,44,68,23
29,43,63,21
31,50,65,22
29,46,65,28
34,43,69,24
35,51,62,26
26,44,63,28
37,45,65,36
40,48,60,38
44,49,59,36
44,43,61,45
38,53,59,41
39,36,56,42
51,47,48,41
42,48,50,42
34,43,49,37
36,36,43,42
41,40,60,46
36,44,58,50
42,26,48,60
38,37,54,48
39,35,47,48
38,29,51,57
44,34,47,53
44,27,50,59
40,34,46,57
45,39,51,62
48,40,59,67
50,29,58,64
55,31,56,74
55,41,46,76
53,42,49,71
55,37,42,68
53,37,51,61
65,44,46,67
56,35,39,64
52,39,46,78
57,44,57,57
44,42,47,70
50,37,59,74
45,31,48,76
47,29,43,72
58,32,59,72
53,37,56,74
42,33,62,75
44,41,54,74
46,43,52,77
36,39,66,78
36,41,50,70
39,50,62,79
42,31,47,68
40,32,46,71
48,34,52,73
36,33,47,72
36,33,50,62
35,40,48,74
34,27,55,75
28,34,50,62
33,37,57,62
35,38,52,65
36,34,49,73
34,41,56,62
34,43,50,69
44,34,60,59
40,32,58,74
38,40,58,62
46,38,65,63
44,34,58,60
46,36,54,63
50,32,55,62
49,39,56,60
48,33,58,64
53,31,53,57
50,38,65,60
47,33,58,57
46,33,49,49
46,34,43,55
44,46,48,57
48,45,46,59
41,40,58,61
48,42,49,61
53,48,56,57
52,41,52,56
56,48,44,64
52,45,47,61
49,54,53,59
57,47,41,69
