arm1,arm2,arm3,arm4
35,45,70,58
30,45,71,68
27,51,56,60
25,42,68,58
27,43,64,57
35,44,66,63
34,44,56,66
30,46,54,64
41,41,56,67
44,44,52,59
50,49,54,66
41,51,50,64
47,46,53,61
39,47,52,62
47,46,54,60
46,44,55,57
52,48,57,53
45,45,49,61
41,45,55,64
51,39,41,60
55,39,44,61
52,41,49,68
56,47,60,66
42,49,45,61
39,56,54,55
43,52,52,61
43,45,59,68
38,49,56,77
39,49,46,65
51,47,50,64
44,44,49,61
48,56,56,59
39,59,44,64
32,43,47,63
43,56,46,61
37,48,46,59
39,54,45,57
45,55,46,56
41,50,46,56
38,56,48,53
38,62,49,55
44,58,40,64
55,60,48,53
53,60,44,61
50,69,50,59
49,50,55,48
56,64,48,56
52,62,46,53
57,59,50,53
55,60,53,46
62,59,45,45
50,69,49,54
39,63,54,50
46,61,58,45
41,59,57,52
36,70,54,64
48,60,62,54
44,54,58,54
47,53,67,48
44,58,61,44
52,60,60,50
46,63,60,56
44,62,64,49
46,69,76,53
41,78,80,54
45,58,77,56
34,58,83,58
36,65,69,57
38,62,70,54
45,64,64,53
26,57,63,64
31,61,61,64
36,64,59,63
34,60,57,54
30,65,64,49
28,55,55,47
35,53,62,55
32,57,47,50
32,64,54,48
30,65,49,41
37,70,51,48
34,60,58,43
34,70,55,55
37,70,56,46
33,55,55,46
30,64,42,43
37,63,50,50
41,68,53,49
31,62,55,47
35,69,50,43
33,71,49,43
35,71,50,44
32,73,41,40
31,71,45,47
31,68,47,38
47,73,37,49
37,72,45,44
30,68,43,41
35,69,46,44
33,69,47,39
34,60,39,38
33,63,49,52
30,56,45,45
28,64,38,46
32,56,46,42
37,71,42,44
43,76,49,43
42,76,37,38
38,77,23,35
37,72,29,42
43,81,35,38
35,80,30,42
35,76,34,39
38,66,26,42
23,63,31,37
24,64,28,40
33,68,26,36
19,66,28,36
25,66,31,37
33,56,36,37
32,63,27,36
29,64,28,38
46,59,29,45
38,65,33,40
38,55,27,35
39,62,27,44
37,66,28,37
30,65,27,41
29,69,28,49
35,68,27,47
45,68,22,38
50,62,31,42
50,71,37,42
48,63,37,44
54,63,36,44
52,63,37,35
43,62,43,52
42,70,37,48
39,73,30,48
42,64,35,48
30,70,36,37
33,66,26,42
42,66,30,55
41,68,21,48
38,68,16,50
40,65,34,51
31,54,29,57
40,61,30,56
39,65,30,49
34,66,32,54
