arm1,arm2,arm3,arm4
42,47,48,76
45,36,49,58
45,41,52,65
50,46,50,62
54,44,60,64
49,34,59,61
45,38,66,64
46,32,66,69
40,30,68,74
53,29,70,64
55,29,61,62
53,29,68,62
52,32,57,67
63,34,42,70
59,30,45,70
51,30,41,69
63,26,41,64
58,23,36,62
65,25,41,71
57,28,38,71
55,29,32,66
60,11,41,70
52,19,35,72
55,19,37,63
51,31,34,63
59,30,32,65
44,16,30,70
57,8,32,67
50,6,33,53
50,12,30,57
51,3,29,62
65,8,31,52
52,4,25,62
54,9,27,54
58,5,38,57
51,12,35,64
53,5,33,63
53,14,38,67
57,20,32,65
51,19,32,70
62,9,32,66
72,6,32,53
67,13,31,63
57,13,29,64
56,12,27,64
58,8,18,62
50,11,23,62
52,17,32,62
49,12,27,60
44,20,26,58
37,11,33,62
43,19,22,58
50,21,39,52
55,25,31,59
58,22,36,48
59,21,28,46
66,28,23,47
65,24,30,54
48,23,22,51
52,30,31,59
46,15,23,55
48,17,23,52
51,22,36,50
58,21,38,52
54,20,31,51
48,32,33,49
56,34,34,46
62,30,42,44
59,31,43,39
62,31,43,53
54,30,48,51
56,29,49,53
44,32,50,53
59,21,41,64
55,30,41,50
51,22,44,55
44,22,40,63
54,18,41,62
48,24,40,57
53,30,36,49
56,30,35,49
59,25,33,53
59,27,48,43
65,27,33,53
61,28,37,52
59,39,34,56
68,36,36,54
68,27,33,57
67,35,40,59
53,28,34,57
63,38,37,61
66,37,40,64
56,37,31,50
61,32,36,61
68,39,40,55
66,34,43,56
60,37,33,49
60,36,34,51
65,35,38,53
71,34,27,49
76,35,25,44
82,37,36,49
68,31,29,39
66,39,36,40
66,40,34,35
68,41,32,40
84,42,27,41
71,34,33,48
73,37,35,47
72,51,31,44
72,43,35,48
78,43,28,52
69,41,40,56
70,41,46,51
74,48,37,58
65,50,48,56
68,50,35,55
73,47,43,59
73,55,46,47
76,49,53,49
74,53,55,51
71,46,47,54
71,46,58,52
73,53,53,49
69,59,57,45
74,62,47,43
78,52,50,42
67,47,43,36
77,58,47,38
75,58,53,39
74,48,43,35
80,51,46,33
70,51,46,37
71,50,53,33
86,54,50,38
74,45,51,29
68,59,50,39
69,59,54,32
65,57,48,33
66,56,47,26
77,46,50,29
74,28,42,25
75,28,38,32
73,35,37,28
77,45,41,31
67,43,42,32
65,31,45,36
68,38,45,33
62,38,47,28
72,41,47,30
