arm1,arm2,arm3,arm4
25,48,67,59
32,46,44,65
27,49,40,68
25,41,46,62
26,54,39,58
30,57,50,61
28,50,44,64
24,50,40,68
28,50,52,64
30,57,55,66
25,51,34,74
19,43,44,70
32,40,43,68
23,57,42,75
27,47,44,70
21,48,47,74
19,49,43,75
25,52,48,80
24,48,44,72
25,50,44,79
24,49,45,80
17,36,41,77
22,46,41,71
14,37,35,73
21,37,51,81
15,48,49,75
14,44,43,74
24,39,36,69
30,37,29,73
25,40,43,67
39,50,34,70
32,37,46,72
35,52,53,65
28,38,44,67
29,41,40,65
35,44,35,74
33,39,37,71
42,37,37,70
34,37,28,63
36,36,30,66
38,33,40,61
32,37,42,68
48,32,41,62
38,29,46,62
53,31,38,65
60,35,38,63
53,36,40,61
64,34,45,72
53,33,42,68
57,28,38,68
45,30,31,62
49,29,41,73
47,39,36,76
52,37,43,71
37,36,51,77
49,27,52,77
50,35,49,75
53,38,58,69
52,44,55,77
53,41,51,66
63,34,54,61
46,36,62,75
52,40,69,83
51,35,66,77
47,42,65,73
57,41,73,66
61,41,65,68
47,42,70,66
65,43,61,65
60,43,63,68
70,41,60,63
65,35,59,76
69,42,61,74
61,37,57,72
66,45,62,76
58,45,59,81
61,46,57,65
50,50,56,62
54,44,55,63
60,39,49,51
59,46,59,45
67,45,62,59
67,35,45,51
66,38,50,52
58,30,49,43
62,42,52,49
63,45,50,54
56,33,53,50
66,20,51,48
67,29,53,53
62,24,49,51
61,26,46,55
68,26,46,43
63,20,49,59
57,19,48,50
57,26,41,53
55,13,44,49
50,20,43,56
57,9,38,55
63,10,32,51
62,13,39,53
53,10,38,54
51,12,41,55
57,12,39,46
52,29,47,53
52,14,40,42
55,20,43,36
52,31,45,43
41,15,52,44
46,16,44,32
50,8,49,38
36,23,47,47
42,11,54,34
35,11,47,45
37,26,46,45
33,15,49,45
44,18,50,49
45,18,49,47
52,23,61,49
45,20,58,47
39,14,61,42
39,17,66,38
40,16,66,44
44,15,62,47
42,21,73,51
43,15,69,52
43,23,69,51
48,30,67,53
48,36,67,50
44,24,76,48
53,40,68,60
39,37,72,64
39,33,68,56
42,27,54,57
46,29,54,66
44,33,63,57
49,35,65,58
54,25,55,55
64,27,56,68
62,31,55,62
50,23,61,51
57,17,55,60
48,15,56,64
55,9,55,53
52,6,55,63
50,25,69,74
46,18,54,64
52,22,59,63
51,29,51,58
48,18,64,66
