arm1,arm2,arm3,arm4
38,42,70,60
34,36,63,60
42,40,66,56
38,44,71,57
42,51,69,57
33,38,82,57
40,43,80,58
31,34,74,54
49,44,80,60
44,44,80,63
45,44,76,67
51,40,76,62
51,60,83,67
44,62,73,63
43,48,75,50
59,66,69,61
52,63,54,54
54,61,52,53
54,68,58,58
57,63,62,55
66,64,67,52
60,59,61,48
61,51,67,49
67,46,67,51
60,60,66,52
64,56,63,51
61,58,60,55
69,55,61,54
66,61,58,52
63,52,58,52
61,54,53,51
63,50,56,56
63,57,49,50
55,55,63,60
55,56,58,59
55,60,53,51
58,61,60,48
55,64,45,55
50,64,52,53
63,50,54,50
55,62,59,55
53,49,56,55
49,55,58,57
44,53,60,54
45,56,55,53
42,55,59,54
51,53,68,43
35,62,62,57
45,56,54,53
39,59,61,51
42,62,57,51
40,52,56,55
52,57,50,54
45,55,51,51
41,52,42,57
43,52,43,55
37,51,47,54
40,49,36,54
37,49,46,58
29,45,49,62
24,50,48,57
29,57,50,54
35,49,48,46
36,41,54,45
37,46,50,55
36,48,49,46
28,47,54,54
33,46,56,42
37,45,51,48
28,47,47,54
31,48,55,50
35,47,56,38
33,52,59,39
23,50,67,42
19,49,56,40
31,50,54,38
31,52,63,35
43,51,59,36
46,41,57,33
45,40,69,34
43,44,65,36
47,47,69,43
43,44,62,34
47,43,68,23
46,41,69,17
45,42,63,20
43,33,71,19
49,30,67,26
51,39,69,26
47,44,70,34
50,43,61,23
51,42,70,37
49,30,57,35
45,41,69,40
35,43,70,40
33,38,72,45
35,42,77,53
31,42,75,46
25,44,80,51
27,33,65,48
29,38,65,43
25,34,66,47
28,33,74,46
25,41,71,56
24,34,72,50
23,22,76,54
25,23,78,45
34,28,73,44
15,24,76,56
26,29,74,54
21,27,69,57
24,27,64,48
30,21,68,44
32,21,61,50
27,21,67,51
19,30,67,43
21,35,69,40
23,28,63,40
32,30,62,40
25,27,54,40
19,34,62,44
24,33,69,50
15,31,63,55
25,34,59,53
25,37,58,68
23,44,57,61
32,32,61,63
27,41,64,63
24,25,66,67
33,30,57,62
24,35,55,59
36,38,64,58
36,28,64,48
35,43,70,61
43,36,61,58
46,39,63,66
38,47,58,60
44,42,71,56
42,33,65,57
38,39,64,64
38,38,59,62
40,43,64,68
39,41,55,57
49,42,57,57
50,45,57,50
41,55,52,58
54,53,50,63
43,57,54,56
53,53,58,52
50,45,50,57
