arm1,arm2,arm3,arm4
30,27,51,62
39,46,54,58
35,44,53,55
39,37,60,57
48,44,51,58
30,34,62,54
32,38,53,59
31,42,63,58
32,47,58,60
29,42,55,70
33,37,57,75
37,42,48,78
28,42,48,75
28,32,43,74
30,41,54,82
37,32,50,83
41,41,56,71
28,41,48,63
36,50,50,74
37,43,43,72
28,40,51,74
32,32,38,71
41,32,51,70
33,28,54,68
30,41,51,65
33,36,44,64
37,39,45,65
28,41,45,68
25,40,51,71
28,37,44,71
38,42,57,79
40,37,46,69
30,34,49,65
31,33,55,67
17,36,48,70
25,39,50,52
34,46,59,61
25,44,54,55
35,53,62,60
28,53,62,61
37,55,69,61
29,58,64,52
33,51,70,57
45,51,68,52
34,54,68,52
42,49,68,53
46,55,66,53
42,57,59,52
48,51,58,57
44,52,59,62
49,47,59,49
50,55,57,57
53,47,67,49
53,55,69,61
48,56,71,51
51,56,65,51
53,60,64,51
54,56,67,43
59,65,67,46
53,55,67,36
54,68,56,42
56,54,58,42
54,50,58,44
45,59,51,44
50,54,50,44
52,53,50,44
42,55,65,49
46,55,53,54
51,56,45,50
40,51,48,54
44,55,51,57
52,61,51,53
52,55,49,60
54,48,49,60
47,48,54,47
51,49,44,54
47,62,50,61
50,53,49,62
48,61,54,71
58,53,51,68
63,51,61,65
49,56,61,56
60,55,57,49
58,56,64,52
45,44,56,56
46,50,59,57
41,36,62,48
48,44,72,55
36,33,64,51
43,36,65,59
46,43,61,54
47,37,60,53
47,41,68,44
51,30,68,39
37,37,71,45
43,31,69,43
37,35,72,42
32,28,73,40
42,39,71,46
54,33,73,47
45,43,66,49
40,36,61,50
35,34,65,55
39,37,61,52
44,41,50,44
43,42,54,51
51,35,44,53
44,30,51,60
40,29,60,48
51,42,51,55
45,36,55,56
45,35,48,47
42,33,57,50
44,44,58,43
37,45,44,48
47,44,51,46
30,44,56,61
34,39,49,61
27,36,50,69
36,31,37,59
36,42,57,69
32,38,52,53
24,40,55,62
22,46,49,62
23,38,49,56
15,44,44,60
15,49,46,61
23,44,48,55
12,50,51,50
19,39,56,53
27,42,66,54
15,42,62,53
16,48,66,57
18,36,60,60
15,50,61,56
35,53,63,60
31,44,69,59
22,43,68,58
25,34,75,64
22,42,73,62
24,24,86,61
20,33,84,57
27,36,78,57
16,33,76,54
15,41,82,53
20,37,73,55
10,38,78,59
23,32,75,52
22,35,83,65
21,39,82,52
