arm1,arm2,arm3,arm4
38,37,59,75
43,44,51,78
40,47,43,78
46,51,52,83
35,46,52,77
39,49,46,72
31,48,49,76
47,49,36,73
47,59,45,72
53,57,50,73
55,54,59,68
51,54,54,74
61,53,55,63
60,45,48,56
63,50,52,65
58,48,51,69
56,57,46,62
57,48,51,77
65,44,44,67
64,52,44,65
54,52,47,67
57,56,38,63
57,66,55,76
57,67,47,69
61,66,38,69
51,52,30,71
55,62,38,63
52,55,31,65
51,61,33,63
42,62,26,60
44,58,34,60
34,61,40,65
43,55,33,62
44,53,29,62
39,55,33,61
39,51,29,57
34,43,35,56
37,44,25,49
47,47,26,58
56,49,29,50
45,50,19,60
45,45,27,50
39,48,23,63
38,46,15,60
36,47,12,61
39,49,15,63
31,51,12,53
37,48,8,58
30,58,18,69
26,59,18,72
29,52,22,67
27,56,24,83
29,53,16,58
36,58,29,75
34,45,23,57
34,44,32,83
32,44,30,84
29,43,21,80
32,48,18,85
30,43,23,84
32,43,22,85
29,36,25,79
32,41,26,80
24,31,29,75
27,36,27,66
30,31,23,67
38,28,20,74
39,31,31,67
37,27,29,65
33,29,29,62
40,41,36,53
35,32,32,58
35,31,29,58
32,27,30,49
38,30,27,64
39,31,17,52
36,43,23,56
34,36,18,60
32,35,15,62
34,39,28,68
36,32,17,69
33,36,33,68
40,32,22,65
43,37,28,59
36,34,16,66
33,32,20,59
40,29,31,65
42,28,34,55
44,24,27,54
38,39,29,60
43,41,29,64
44,24,33,55
50,32,29,50
45,29,32,60
42,28,38,60
37,36,31,47
33,30,35,56
39,34,43,61
39,28,32,59
36,22,25,64
35,23,24,50
35,21,21,52
28,39,18,60
25,26,18,55
33,16,18,49
32,20,24,54
40,20,23,60
33,15,21,58
34,22,21,66
32,23,39,63
33,27,30,68
39,27,30,67
34,18,29,65
42,28,31,68
43,14,23,69
47,23,24,68
48,27,23,72
32,24,23,71
33,23,28,74
21,18,29,73
27,24,33,79
21,11,25,68
25,18,26,80
25,13,36,80
23,16,26,74
18,15,33,74
21,10,33,67
26,7,34,86
17,15,26,80
30,27,26,75
28,23,29,69
20,16,33,66
27,16,23,68
25,24,27,69
28,18,28,67
31,14,28,62
28,1,29,61
30,2,31,53
29,1,38,55
25,-4,39,54
26,10,39,53
30,5,36,52
27,13,43,63
26,13,48,59
18,18,36,56
17,16,54,62
19,20,35,61
24,26,43,65
19,23,41,55
18,22,49,59
