arm1,arm2,arm3,arm4
29,37,53,62
46,36,65,66
41,44,44,68
36,44,58,72
42,41,54,69
43,49,50,71
39,45,52,66
44,45,42,64
43,40,42,66
42,45,44,70
45,38,40,64
53,24,52,68
54,44,43,60
60,41,48,74
58,31,46,71
70,42,51,64
66,32,45,71
68,47,46,69
71,36,56,71
70,42,56,74
63,40,58,80
56,35,56,74
59,39,61,69
61,39,59,65
56,36,72,70
64,39,62,74
67,39,70,70
60,43,55,67
59,56,52,60
62,51,46,65
51,34,39,64
55,44,39,57
51,45,46,64
57,48,38,78
56,40,40,60
60,38,41,57
50,41,39,63
50,44,41,68
49,39,41,69
46,26,46,66
54,33,51,69
41,40,40,67
49,39,38,67
54,42,47,55
51,41,48,61
41,38,39,64
57,53,47,57
53,42,43,67
50,46,45,65
51,48,37,63
56,50,43,67
57,51,44,68
48,59,41,67
59,63,47,66
52,57,52,67
57,65,46,67
47,56,50,62
49,60,54,68
52,64,48,60
52,57,53,55
50,55,57,58
45,53,53,63
49,55,40,62
65,60,40,64
51,48,49,64
52,49,37,63
51,53,45,60
59,52,37,68
52,54,39,57
52,56,27,60
56,52,39,65
50,53,35,58
49,48,41,66
48,55,35,64
59,53,43,55
50,53,38,61
50,51,37,68
55,46,44,61
52,56,42,71
61,44,47,64
55,56,49,66
57,49,38,67
51,62,28,73
48,63,42,64
53,54,38,70
49,54,23,64
51,51,39,75
47,44,38,68
49,38,39,67
46,50,29,77
47,47,32,68
56,40,41,70
67,48,36,62
54,40,38,61
60,44,26,69
63,49,16,63
63,48,24,76
71,57,28,67
65,43,28,68
71,49,26,65
71,52,30,56
59,50,32,63
58,61,30,56
60,58,27,67
63,59,29,67
66,59,40,65
66,68,34,67
57,51,29,62
64,61,36,65
66,62,23,69
64,47,34,64
61,58,28,64
59,46,34,62
68,63,28,66
62,51,21,61
68,46,25,68
60,54,27,69
65,45,31,63
69,53,30,63
58,57,19,58
50,53,37,50
60,56,39,55
55,56,20,41
47,58,27,49
50,57,30,55
56,54,27,50
48,64,33,48
49,64,23,50
49,65,31,47
48,66,37,47
56,69,37,38
56,67,33,39
51,76,32,45
48,69,37,46
46,76,39,41
39,77,40,43
45,70,42,55
39,68,41,49
44,63,43,51
47,67,43,59
36,62,35,48
34,59,34,63
38,61,45,51
41,58,37,48
45,60,45,50
44,67,44,54
42,63,46,64
46,56,38,57
39,52,44,60
25,55,45,54
