arm1,arm2,arm3,arm4
28,28,47,74
27,40,49,68
34,31,51,74
27,28,51,66
26,34,50,71
27,33,52,77
32,38,55,68
35,43,53,77
39,39,57,81
42,42,51,74
41,48,47,68
40,45,47,65
50,48,40,73
41,40,44,69
38,38,48,65
37,39,51,69
42,26,37,67
47,30,40,67
48,31,39,73
40,36,33,71
33,33,40,69
41,40,45,61
36,43,41,57
34,41,38,53
28,41,46,53
32,42,50,63
31,40,35,59
40,45,43,53
43,43,39,62
46,33,46,55
43,46,38,63
37,54,43,66
38,50,31,61
35,54,37,52
38,53,43,53
34,47,42,65
37,41,38,54
39,47,42,68
31,47,38,61
30,41,33,57
30,43,37,56
36,50,33,58
42,51,44,51
27,58,38,64
38,48,38,56
36,47,40,62
36,47,29,64
37,45,29,50
35,51,26,55
41,51,23,47
39,52,27,58
35,44,19,53
34,53,34,65
28,42,20,61
38,48,28,61
35,48,22,60
37,55,17,54
34,56,18,56
32,54,16,65
32,58,7,72
39,46,13,66
42,50,17,61
26,43,21,66
31,46,22,65
29,49,20,57
29,45,23,66
20,48,18,61
31,48,16,67
18,47,22,65
24,57,14,67
23,58,21,66
27,52,29,66
35,61,10,71
22,58,26,60
30,48,19,63
29,52,26,60
29,54,29,64
38,57,32,59
29,54,23,73
36,42,24,61
35,43,32,61
37,46,27,64
43,48,21,67
44,54,28,81
38,45,22,82
43,53,17,77
41,53,20,77
38,57,19,74
31,61,25,69
42,65,21,70
42,56,11,62
48,55,25,61
56,56,17,68
52,63,16,58
46,65,14,65
50,65,13,64
42,70,24,66
56,69,21,62
45,61,11,61
53,65,19,54
50,62,14,53
52,66,8,64
50,60,11,63
43,62,11,64
43,56,13,64
47,55,8,64
39,55,15,62
39,52,10,60
36,58,17,58
38,57,22,56
39,59,26,64
44,57,21,57
39,58,22,67
50,52,27,62
47,51,30,51
51,54,35,53
52,55,32,48
45,60,39,51
49,65,32,54
52,53,30,55
58,60,42,49
56,53,27,48
52,58,35,53
55,54,42,60
57,55,42,59
61,62,35,55
63,59,41,57
61,59,33,54
60,68,44,54
65,59,30,58
62,70,33,50
68,61,41,51
61,65,45,66
60,70,40,57
65,63,42,59
69,66,36,54
64,65,45,50
64,60,44,53
70,73,49,44
61,78,50,54
61,82,57,46
69,75,40,51
67,88,42,43
73,76,43,50
66,79,43,49
68,83,41,48
66,90,26,53
76,77,24,40
70,72,20,49
63,75,25,48
