arm1,arm2,arm3,arm4
32,51,56,53
29,47,50,51
38,53,59,57
32,54,62,57
35,54,64,51
22,62,73,55
24,67,60,62
32,61,58,54
39,59,59,54
28,65,58,60
43,56,53,53
45,59,52,61
41,62,53,53
40,52,49,51
43,72,54,58
43,64,57,52
40,76,54,52
39,64,57,56
36,69,67,56
26,69,63,58
35,59,74,64
42,60,71,64
29,69,73,64
41,64,72,67
52,68,72,71
36,61,73,58
44,67,80,65
43,67,73,66
44,70,73,57
47,62,67,56
42,61,60,58
46,64,71,61
54,63,61,54
52,70,62,58
48,65,60,51
36,72,59,56
37,69,66,51
39,57,62,56
38,58,62,59
38,67,71,57
40,67,55,58
42,67,56,56
44,69,55,64
45,69,55,66
37,66,56,61
29,67,67,67
34,67,68,61
35,68,58,64
29,66,56,59
34,68,60,54
35,58,58,60
33,63,72,58
32,76,69,60
35,68,68,73
31,75,74,68
37,71,65,60
35,75,67,73
48,61,64,65
38,61,65,71
44,72,72,63
51,55,53,61
44,51,62,65
43,57,66,60
47,60,64,62
44,61,73,67
46,55,77,77
44,46,66,58
57,45,66,65
43,49,78,61
41,53,73,57
51,47,72,53
55,46,70,60
52,48,69,58
45,48,75,53
44,53,68,55
48,45,69,59
56,59,58,62
52,55,64,65
41,47,65,63
40,55,65,51
47,53,59,47
42,40,58,55
38,40,50,49
42,38,46,48
39,35,55,45
40,26,49,36
43,31,56,56
44,34,52,51
39,30,57,46
41,30,59,57
40,35,62,53
47,49,54,53
48,40,58,54
46,39,67,47
40,38,60,48
38,42,60,48
35,42,61,40
36,46,52,47
44,45,69,46
37,48,71,45
45,51,63,47
42,56,58,40
39,43,63,45
39,42,58,46
33,46,52,35
38,32,47,47
39,41,56,45
48,36,48,42
38,40,51,42
33,39,68,40
36,32,49,46
37,44,58,36
47,42,55,35
47,49,52,37
42,37,56,40
36,56,62,34
58,48,62,34
49,46,60,35
56,47,61,36
54,62,56,38
55,49,62,40
46,42,64,41
58,54,66,44
59,56,60,45
44,54,68,37
48,57,50,35
57,59,66,44
56,64,62,50
47,63,60,54
58,71,64,50
50,68,62,44
53,76,67,56
40,76,52,48
48,69,59,53
37,67,57,59
47,69,70,51
42,66,62,49
39,59,57,50
50,63,47,49
42,52,46,53
39,58,63,40
39,49,52,53
43,52,60,48
43,49,54,46
42,50,59,41
50,47,67,51
48,49,65,44
47,43,57,41
51,39,55,34
40,31,57,46
