arm1,arm2,arm3,arm4
30,31,46,67
28,34,50,68
25,34,44,71
19,32,53,74
29,45,44,64
32,44,46,76
32,50,46,78
31,43,47,70
33,45,53,73
30,46,48,71
38,47,47,75
38,46,48,67
38,42,63,72
33,42,48,75
32,47,55,76
38,50,44,71
39,59,48,78
36,62,47,77
37,55,49,72
41,51,47,61
42,54,51,67
39,61,42,72
34,56,43,69
44,64,49,53
46,52,44,55
39,41,42,58
49,45,49,59
54,46,53,57
51,47,47,47
50,49,47,50
52,48,45,53
52,48,50,42
56,47,56,52
59,49,54,57
61,46,47,51
51,42,50,58
60,34,46,57
61,43,40,53
61,44,52,51
47,37,44,54
52,38,43,55
50,43,48,45
48,42,38,59
40,41,39,47
35,41,31,56
37,41,30,54
35,33,42,50
37,41,38,65
27,36,41,57
21,39,43,54
21,32,48,56
28,39,37,56
23,36,46,56
25,44,32,51
27,40,42,52
32,49,44,54
29,43,40,54
19,36,48,59
38,40,48,57
29,38,51,64
27,44,51,70
32,51,49,61
42,51,55,52
28,55,51,67
34,57,51,58
30,48,52,60
33,60,42,56
35,57,47,58
42,67,43,58
28,59,43,59
35,54,46,52
38,57,53,53
45,61,45,60
36,51,44,55
41,56,45,64
37,63,47,69
39,60,33,64
34,59,47,66
37,55,39,70
42,51,36,66
35,49,31,68
37,55,30,72
42,47,35,78
49,40,41,82
45,41,36,83
42,50,43,71
46,47,53,84
55,52,37,77
47,57,35,86
48,52,28,83
51,45,31,79
51,41,37,77
44,45,39,87
47,49,31,84
57,55,33,71
46,43,29,76
38,46,25,74
46,46,34,82
49,61,29,68
47,48,30,69
49,48,33,62
46,51,24,63
55,43,34,66
52,41,26,55
42,48,27,63
50,56,32,63
46,57,32,66
48,52,27,56
40,54,21,62
41,54,27,64
34,56,30,52
41,55,26,50
41,48,25,53
36,53,21,51
38,48,27,39
35,46,20,41
30,51,31,50
34,60,36,43
45,52,32,48
35,59,27,50
36,68,28,36
40,60,23,44
25,64,29,38
33,69,20,35
23,60,20,45
18,64,30,49
25,68,21,50
22,64,22,54
19,68,26,58
18,67,27,57
28,68,19,62
13,71,26,54
20,77,33,58
25,77,32,60
13,75,30,59
22,64,40,67
26,72,37,56
22,74,31,55
19,67,40,57
25,70,42,57
25,71,44,57
21,72,49,55
25,76,40,60
28,71,45,44
18,71,54,50
26,72,46,51
14,72,51,59
16,76,43,62
22,69,50,59
16,75,50,70
