arm1,arm2,arm3,arm4
30,40,55,71
43,41,45,68
30,40,36,70
34,45,42,75
33,55,46,72
43,40,41,68
38,53,43,71
39,49,36,68
45,43,33,67
46,54,46,62
42,49,36,63
34,57,44,54
44,53,50,60
46,57,37,66
42,57,37,61
40,57,41,65
47,56,40,69
36,58,42,65
45,54,46,70
43,58,40,71
37,55,47,76
37,49,49,71
50,46,37,79
42,54,36,78
46,56,46,82
41,61,56,79
50,57,50,80
49,64,43,75
45,61,47,78
40,64,43,73
42,62,56,77
40,66,47,79
46,62,44,75
34,63,43,81
35,61,49,68
34,58,51,69
33,59,43,69
38,69,46,79
28,68,40,77
29,68,45,76
28,65,45,73
26,67,37,73
33,62,33,75
29,57,31,69
29,69,29,70
29,63,27,72
21,69,27,68
27,67,36,67
36,65,31,62
38,61,35,61
44,60,29,73
49,59,20,75
48,59,30,65
45,54,31,60
49,56,27,62
47,54,35,64
48,56,29,62
50,59,26,67
47,60,29,64
47,54,30,62
49,51,35,61
51,50,41,56
47,44,37,59
52,45,41,65
37,40,47,58
46,41,43,54
41,34,41,58
46,36,36,51
35,30,25,47
32,36,40,51
34,37,40,50
39,35,24,51
32,33,27,48
38,31,29,56
31,32,32,53
25,41,33,52
35,44,45,49
37,49,44,48
30,41,37,60
29,44,41,53
26,44,46,57
34,48,40,58
37,53,44,49
41,50,44,56
31,58,43,63
34,57,39,58
26,58,47,66
35,58,44,71
31,63,42,63
33,63,42,71
39,69,41,70
30,60,42,66
36,52,38,69
30,71,40,69
35,55,35,63
37,60,34,63
29,61,45,67
38,60,38,72
42,60,48,58
48,60,44,60
45,50,45,59
43,56,50,63
40,61,37,65
42,58,48,67
48,53,42,56
40,45,45,57
39,55,45,64
34,55,45,68
36,52,38,61
38,60,44,60
39,60,52,65
37,52,50,55
41,54,52,61
41,51,50,60
38,54,56,40
34,49,60,48
45,57,57,52
43,45,60,47
50,53,56,40
46,58,58,39
46,52,64,36
53,55,61,40
50,51,58,46
46,51,67,49
48,55,54,45
54,54,65,61
64,65,68,60
66,57,66,58
59,54,64,55
60,62,62,54
66,54,61,63
70,52,66,67
70,51,69,64
68,48,60,66
76,52,61,67
71,53,63,61
70,51,72,74
63,54,75,70
58,51,70,74
60,47,66,70
57,48,56,70
62,45,55,69
63,40,54,68
60,43,52,65
53,40,49,62
60,31,47,66
63,36,55,61
60,27,56,62
56,30,53,65
54,22,45,68
