arm1,arm2,arm3,arm4
26,48,57,68
30,53,55,68
35,64,55,75
33,55,52,70
31,53,49,67
24,65,53,61
12,58,47,67
19,65,54,62
31,66,47,65
22,60,46,61
20,63,54,51
35,71,49,57
30,69,53,59
17,60,50,50
26,57,54,55
24,60,50,56
24,59,51,51
15,64,53,56
27,72,52,55
31,69,51,63
30,67,47,52
27,59,49,55
29,68,49,54
28,70,45,54
20,68,40,60
37,64,44,54
30,70,44,48
40,66,45,45
38,65,51,48
32,59,46,56
38,67,49,55
46,64,42,56
46,64,43,63
40,62,43,54
39,67,43,62
41,68,51,56
47,62,46,61
42,65,50,57
48,68,52,55
36,71,47,63
43,63,52,58
47,59,46,54
55,57,51,59
45,53,52,61
48,62,51,62
57,50,57,56
57,51,54,58
60,58,66,55
50,58,61,59
56,60,55,59
54,65,59,49
57,61,60,48
55,60,62,50
54,66,59,42
49,67,58,46
52,61,67,48
44,72,59,48
43,72,61,49
42,73,53,46
37,81,57,52
40,71,56,43
50,64,53,42
42,54,55,39
36,57,52,38
44,61,45,39
43,65,55,37
38,52,52,31
41,60,52,30
37,61,55,31
38,61,60,32
40,62,51,25
31,61,68,29
43,60,59,25
37,74,60,18
32,68,64,27
51,67,49,28
38,69,52,22
32,64,58,17
31,67,64,17
38,61,50,25
31,71,52,18
37,66,52,18
41,65,57,31
41,64,45,17
39,64,39,25
53,64,52,14
40,62,48,15
43,66,45,18
45,62,52,23
49,65,53,19
45,62,45,17
42,57,49,16
45,65,50,16
51,70,49,24
51,64,48,25
52,69,56,26
54,65,54,25
52,74,53,27
50,68,54,24
41,68,54,21
41,67,55,18
44,73,56,25
45,72,54,20
45,77,54,37
40,79,50,23
44,84,53,34
38,85,54,37
47,78,56,40
43,73,51,32
46,71,50,31
44,77,51,33
47,72,52,39
47,71,49,45
55,67,60,47
46,70,59,51
51,64,55,45
55,69,55,39
56,70,55,43
58,75,55,44
44,68,62,42
50,74,61,36
45,64,62,34
47,56,63,30
42,60,69,31
48,53,65,40
48,61,65,30
41,62,64,28
42,64,60,23
41,63,68,36
52,68,60,29
50,67,65,27
48,59,66,29
55,60,59,38
56,51,44,31
57,52,52,41
57,47,54,40
51,61,56,28
58,63,39,36
54,65,49,21
53,56,50,24
57,58,45,28
62,60,52,31
67,46,50,30
60,46,46,20
55,51,45,30
55,44,52,16
60,43,37,26
57,49,51,27
56,44,56,31
59,42,47,31
