arm1,arm2,arm3,arm4
30,40,56,63
33,40,56,55
28,44,54,63
22,38,54,53
30,44,59,59
33,44,64,55
28,44,61,52
26,46,68,44
29,45,69,47
24,50,63,37
24,52,69,47
23,50,55,40
37,42,51,46
26,58,48,47
32,59,54,40
34,54,53,36
19,48,53,46
30,49,56,34
27,49,60,37
26,54,61,40
22,52,56,40
25,49,70,39
23,51,51,37
31,43,53,36
20,40,55,43
26,36,52,36
13,35,55,29
8,42,45,32
22,42,63,29
25,39,57,33
27,48,55,25
23,52,50,31
23,55,49,42
28,50,51,37
38,50,53,31
26,42,52,27
32,50,44,32
24,47,33,30
28,44,40,25
41,44,40,28
31,47,36,31
42,45,31,28
41,48,39,30
52,42,38,22
47,43,42,38
46,42,46,36
44,44,44,32
39,45,46,21
43,52,53,32
44,55,47,27
45,56,42,26
41,61,42,25
46,57,56,35
44,53,52,28
49,58,48,25
40,51,56,27
38,56,57,24
40,55,57,31
45,56,57,33
42,49,62,38
43,57,64,35
41,58,63,36
44,46,67,29
48,60,58,25
30,66,55,37
40,60,59,31
42,68,64,40
41,68,59,38
39,61,54,36
43,51,52,31
29,63,67,36
28,65,67,40
38,64,59,39
39,68,71,44
40,64,62,39
34,57,69,37
40,64,69,45
33,61,67,50
34,74,75,58
30,59,66,59
40,74,68,70
37,63,64,67
35,63,70,70
39,61,71,79
40,64,76,78
39,71,79,85
41,72,72,66
45,66,74,83
49,65,67,75
39,70,77,75
44,73,71,75
42,71,76,72
32,68,75,78
41,69,75,67
40,74,79,74
40,74,81,61
37,69,77,67
29,71,73,71
29,66,72,67
29,69,76,75
32,74,73,76
43,64,83,63
40,75,74,56
42,68,72,57
40,69,66,56
37,70,72,53
41,66,66,53
47,69,75,57
47,63,83,53
43,70,74,55
52,76,73,59
43,73,67,49
45,74,72,62
52,78,75,56
53,79,86,58
47,80,78,55
53,73,71,54
47,71,77,60
49,62,87,53
57,80,92,56
43,74,87,53
54,71,82,48
44,75,75,40
42,70,72,43
46,76,70,41
50,74,70,43
56,71,71,34
44,62,68,44
51,73,80,49
50,73,71,45
52,69,66,51
59,73,58,48
52,75,63,54
55,72,63,58
50,67,69,60
52,68,62,56
42,63,57,53
49,65,49,62
47,70,53,63
54,75,55,70
47,64,59,63
51,72,56,68
41,70,53,64
51,62,53,61
54,67,59,62
42,62,57,65
44,56,47,67
55,58,49,58
50,59,58,49
49,53,51,48
