arm1,arm2,arm3,arm4
23,49,57,49
31,50,52,58
33,47,49,48
22,52,57,50
27,52,60,61
30,53,66,55
32,55,63,55
31,42,76,54
30,60,69,63
31,53,68,55
39,56,63,53
33,62,66,49
35,55,65,55
39,53,66,53
46,52,77,53
45,58,75,54
43,52,71,57
41,61,68,57
43,59,70,57
47,57,71,63
45,65,73,53
43,59,68,57
48,62,69,56
40,66,69,64
37,70,68,57
37,70,62,54
35,72,69,60
39,62,50,67
50,65,57,55
41,66,55,49
51,66,51,60
39,63,49,47
41,67,64,60
38,58,64,53
45,58,60,57
39,59,60,55
33,62,54,48
38,56,59,42
32,49,62,46
26,58,68,44
30,52,72,46
33,68,64,49
41,61,68,47
47,60,70,49
50,57,66,50
54,57,65,45
46,65,67,39
49,64,68,47
53,67,68,52
54,48,60,48
61,58,73,57
59,57,67,56
56,54,66,62
62,52,62,53
59,52,61,55
52,52,60,46
60,53,55,48
58,50,65,44
59,59,62,51
58,62,58,43
67,64,63,55
56,61,62,38
57,61,66,48
52,58,65,52
51,59,68,53
51,56,71,56
47,57,69,52
48,58,73,48
54,62,66,44
52,63,65,46
55,60,70,56
54,54,60,48
60,52,71,59
51,54,69,64
51,47,75,53
50,48,76,56
54,52,75,69
55,54,77,66
59,53,70,67
48,50,66,59
54,52,72,60
41,49,62,64
36,48,66,59
42,45,64,57
46,50,60,66
43,51,53,63
50,43,59,62
51,39,58,63
41,37,63,57
45,27,61,65
41,37,54,64
34,29,56,65
36,36,54,62
45,39,53,64
48,34,49,55
56,35,49,59
53,45,45,51
48,39,51,62
48,37,51,55
54,35,50,57
48,37,37,54
48,44,41,61
45,49,33,60
36,33,28,50
45,33,36,60
46,35,38,56
42,47,41,50
47,29,41,50
49,35,43,57
43,37,46,51
49,34,51,60
47,45,43,59
63,42,53,54
58,42,49,58
62,49,50,57
58,36,45,51
58,45,48,55
60,43,46,56
65,46,52,43
62,40,46,52
59,39,58,44
62,50,51,48
63,38,58,44
52,36,56,49
69,35,48,45
64,37,58,49
62,32,48,45
53,49,55,43
56,46,56,44
65,47,55,47
62,37,66,44
59,43,53,41
59,46,47,52
50,50,35,53
64,53,43,46
59,47,45,48
52,50,45,56
60,41,38,54
63,49,35,57
62,44,34,47
65,49,30,49
75,45,22,42
70,51,22,40
71,51,25,44
74,48,23,42
65,49,20,43
66,50,22,31
60,42,18,38
64,41,22,37
65,39,29,32
