arm1,arm2,arm3,arm4
44,47,48,59
37,47,54,51
43,56,52,50
41,60,49,64
37,56,58,56
42,51,58,57
35,52,64,49
44,48,62,60
35,51,58,52
38,48,55,51
36,40,57,53
42,44,58,60
43,41,53,57
44,37,54,60
57,47,55,55
44,53,55,55
51,43,63,55
47,33,53,59
53,42,54,53
60,43,51,52
54,43,49,57
51,41,44,46
55,40,56,46
49,49,57,45
58,43,52,44
52,40,48,54
47,47,52,48
53,42,49,51
47,40,56,48
46,41,59,53
54,44,56,45
51,42,55,44
51,43,62,44
61,38,40,44
46,33,46,55
66,30,46,61
58,36,37,56
59,31,58,59
56,33,45,63
56,29,47,70
57,37,55,62
48,48,55,80
44,37,59,66
47,44,45,70
55,36,49,69
53,43,45,65
40,47,44,79
49,44,47,68
48,48,50,80
41,42,52,85
50,38,53,78
57,53,48,76
41,54,67,64
45,53,63,65
49,49,63,57
59,45,52,74
48,38,49,66
58,44,40,70
46,43,32,80
50,53,49,78
61,50,42,81
66,53,47,74
55,44,45,73
69,53,53,68
70,50,45,67
63,45,50,59
63,50,51,53
61,41,45,52
56,37,45,52
52,47,49,55
50,41,54,51
52,38,46,49
52,45,41,52
44,37,40,51
47,35,41,51
44,37,40,47
52,36,42,42
42,37,42,34
40,36,46,45
53,34,45,38
41,41,42,34
53,34,52,34
54,35,42,41
52,32,46,37
48,35,38,41
48,46,33,41
45,38,40,40
48,40,34,35
50,46,47,36
47,42,43,38
42,53,49,49
49,44,36,47
57,48,36,56
45,38,37,48
53,44,37,53
49,48,46,57
54,47,35,56
56,58,27,49
56,60,33,43
56,56,44,52
54,62,44,45
55,58,51,48
53,55,44,49
65,62,50,57
62,61,50,50
70,66,51,61
73,53,42,64
67,59,51,69
63,60,49,60
67,54,48,60
61,58,53,63
57,46,46,62
66,50,53,60
66,39,53,64
62,46,48,72
67,38,57,69
70,33,47,68
79,38,56,70
77,36,54,70
70,33,58,77
71,40,61,64
67,28,55,73
64,39,56,66
68,34,61,69
61,32,58,69
64,43,48,68
67,39,45,72
62,42,48,73
65,37,44,73
63,45,45,64
75,39,43,63
80,35,50,69
75,22,41,67
82,35,40,68
82,42,45,84
70,47,52,72
75,41,46,73
76,45,46,79
72,46,49,78
66,53,49,82
74,58,51,80
64,47,39,76
68,62,46,86
71,57,46,93
74,58,49,93
71,55,55,93
79,58,46,86
80,56,55,98
73,51,50,95
72,66,53,86
