arm1,arm2,arm3,arm4
42,42,58,55
36,47,52,54
45,50,58,55
41,53,62,59
44,54,59,55
38,50,63,53
43,58,67,58
44,47,63,53
43,50,68,48
42,56,66,53
45,49,70,50
31,48,72,55
32,48,60,46
34,47,72,49
34,53,68,52
25,53,64,43
20,51,63,43
25,49,68,45
26,51,69,46
33,46,68,36
36,50,65,48
30,51,75,46
23,55,71,45
26,48,62,39
38,54,60,45
33,48,66,45
22,54,63,42
21,53,57,37
9,54,50,35
21,52,45,53
27,57,44,42
20,66,51,41
13,53,51,38
22,65,43,46
15,65,39,42
21,59,34,46
17,63,43,40
19,57,53,39
21,59,45,42
22,53,37,43
26,56,38,52
16,48,33,48
26,55,37,48
26,48,45,54
27,48,39,44
26,52,34,45
23,42,37,50
26,48,39,45
23,48,42,45
21,48,40,46
24,43,48,41
35,50,46,43
33,51,50,36
22,48,53,41
26,41,54,37
23,36,55,43
25,36,55,40
10,41,58,55
13,50,53,46
25,50,63,32
6,48,71,41
19,53,63,39
14,41,68,32
19,39,62,41
22,36,72,47
21,39,61,48
21,43,68,43
26,49,81,53
29,45,66,44
25,33,65,45
30,41,74,47
37,34,56,43
38,39,71,40
32,38,81,36
29,46,74,38
25,44,72,35
30,49,76,44
39,49,75,45
45,42,70,55
42,45,73,50
44,42,75,44
28,41,71,48
33,43,66,52
34,46,68,54
20,38,66,45
33,55,61,55
33,47,66,52
38,47,67,53
35,45,67,51
39,55,60,50
38,52,67,44
39,47,62,43
38,51,62,51
43,48,55,47
49,41,61,54
38,47,66,45
45,48,57,45
43,50,62,55
34,53,63,60
41,54,55,59
35,58,64,68
39,60,65,64
34,51,66,70
26,48,67,64
33,45,63,68
30,33,66,74
42,39,66,69
45,44,69,64
37,38,69,57
45,48,73,72
44,52,63,59
46,40,69,65
51,51,68,57
39,44,60,69
46,45,68,59
46,49,76,65
54,44,67,80
51,43,73,75
52,43,73,74
67,37,75,76
60,35,67,67
55,50,70,75
67,37,69,72
68,50,77,69
68,51,65,78
64,57,72,69
66,58,80,65
67,52,66,59
66,53,72,57
76,39,64,58
73,46,56,68
66,47,56,53
75,44,57,54
66,42,53,55
60,53,57,57
70,53,48,61
64,44,56,53
64,44,56,57
75,53,54,48
66,45,60,50
78,45,45,56
69,43,49,53
69,44,50,51
69,46,53,36
71,50,50,50
69,57,44,45
70,43,60,34
71,56,45,38
73,55,53,47
80,49,55,46
