arm1,arm2,arm3,arm4
43,29,62,55
36,40,51,54
43,44,51,57
50,49,57,63
37,37,51,63
43,41,49,61
46,42,50,59
33,42,48,62
38,42,50,58
42,37,52,64
38,44,57,62
44,45,51,53
40,49,52,64
39,49,48,68
38,57,55,56
37,56,57,58
37,43,66,59
39,48,61,61
44,57,62,57
30,51,55,72
32,48,64,72
38,39,62,75
39,39,58,71
32,46,56,79
37,53,59,73
46,50,56,84
38,42,66,77
35,46,60,69
41,52,69,77
26,42,74,89
41,46,82,87
35,49,75,86
32,42,75,81
32,44,65,92
22,41,69,91
36,38,77,77
35,38,82,82
23,40,77,86
29,33,78,79
35,39,83,77
25,36,77,76
32,44,81,73
40,40,79,79
31,44,78,84
31,42,81,63
29,39,78,62
20,36,80,62
25,37,73,59
17,37,73,68
20,34,75,68
25,50,63,65
24,42,80,62
24,39,74,69
31,37,76,60
27,32,68,57
24,35,82,60
31,35,73,63
21,38,68,62
29,42,66,51
30,40,75,60
28,51,68,61
23,42,78,52
23,44,76,52
26,47,78,58
37,44,71,53
38,54,67,58
44,53,68,62
35,52,63,60
36,41,60,52
37,42,63,67
40,47,64,54
51,57,56,50
38,52,55,50
42,42,56,49
41,51,46,54
37,47,68,55
35,56,45,52
34,52,54,52
31,52,66,47
29,50,62,49
30,49,63,45
34,51,61,39
29,56,57,45
27,51,57,47
34,49,50,38
36,53,55,31
32,52,55,42
31,55,46,45
32,48,46,36
27,54,54,40
33,51,50,34
34,54,52,36
30,59,44,42
24,47,50,37
35,53,55,34
29,49,53,36
28,43,36,32
39,46,51,37
30,45,41,39
31,41,48,40
35,54,39,38
34,60,39,45
30,51,51,53
37,60,43,41
43,46,49,42
41,40,44,48
40,42,47,44
38,43,44,38
36,44,44,44
37,55,56,42
39,47,42,39
23,59,55,45
37,58,52,47
32,60,49,49
28,55,45,42
34,59,52,44
32,67,43,39
25,71,55,48
30,59,46,51
39,63,46,51
40,58,51,53
28,55,59,48
32,61,53,43
36,61,54,51
38,50,59,46
42,42,67,42
39,50,66,50
40,45,61,51
40,42,66,45
48,50,61,43
44,44,58,53
43,49,55,58
41,43,65,57
44,41,63,55
43,38,64,54
40,40,65,62
36,44,66,61
37,51,70,59
40,48,68,63
44,40,61,63
53,50,70,61
55,43,65,64
50,40,64,67
43,41,62,70
43,41,54,64
43,35,50,69
42,32,58,61
34,38,52,67
42,42,55,66
49,36,56,78
