arm1,arm2,arm3,arm4
34,39,68,57
35,46,51,55
34,45,47,56
33,44,56,60
30,45,58,55
38,41,57,63
27,43,52,62
41,44,49,70
43,42,57,70
41,36,42,64
42,47,55,62
36,46,64,73
34,48,59,73
30,54,63,64
33,58,64,71
36,54,65,72
40,55,68,73
40,58,57,56
40,61,58,65
36,55,67,62
43,43,67,68
46,46,63,72
53,63,60,67
50,61,50,59
55,49,53,63
48,50,52,62
47,55,53,69
48,57,45,62
42,57,48,50
49,52,57,65
53,42,54,54
51,47,53,47
55,52,62,46
46,54,52,58
59,43,67,55
54,58,59,58
62,51,68,59
61,51,66,74
57,59,57,61
64,48,68,59
59,48,54,48
55,49,66,54
49,43,65,53
52,54,62,55
48,71,69,53
56,62,65,59
54,54,59,53
48,63,59,62
46,63,50,62
48,59,54,67
49,55,59,53
55,50,70,57
57,51,62,53
48,60,63,55
51,56,54,60
55,59,53,63
52,59,63,67
54,66,55,52
61,51,61,61
53,57,59,59
56,52,65,57
65,58,66,64
53,57,71,65
56,57,64,55
54,52,59,57
58,51,53,58
60,53,60,60
63,55,60,58
60,51,58,52
72,59,62,55
70,53,57,52
69,45,53,45
57,37,69,50
55,44,70,47
55,58,70,42
59,51,71,50
65,54,67,44
61,59,74,50
58,46,78,43
65,50,67,49
54,59,72,41
59,62,70,53
60,60,79,39
61,55,70,40
72,48,67,54
72,51,67,46
72,43,70,44
70,47,74,52
72,42,76,45
61,47,74,40
67,43,74,42
69,50,76,33
60,43,70,35
67,47,66,43
64,55,70,35
64,52,80,33
62,54,69,36
63,54,79,33
70,55,68,36
67,46,74,27
61,54,66,30
64,51,62,36
61,52,59,37
63,62,60,36
66,54,64,38
63,55,58,36
60,56,60,33
61,54,70,33
57,48,63,24
55,54,58,35
54,51,64,25
68,41,67,43
59,43,57,31
65,35,55,29
66,44,54,47
65,41,60,39
59,40,66,37
61,62,62,34
62,44,60,34
65,36,60,28
63,43,55,34
67,38,59,24
63,42,62,23
60,36,61,21
63,43,61,17
58,30,71,13
61,40,63,15
65,38,73,13
57,42,57,20
59,48,55,21
62,45,56,14
65,47,57,25
65,49,55,26
62,53,64,28
60,46,66,19
53,55,63,19
56,53,65,26
49,55,62,28
46,56,64,26
41,57,52,40
37,55,55,32
38,58,46,33
39,63,45,27
36,49,43,28
47,54,48,35
56,47,44,35
52,55,47,44
51,47,44,40
57,37,40,41
60,46,36,41
